frequence of Interceptor attribute
    Type Description                     Count                   Percent
             P.Lenon                         3                      0.07%
            P.McPhee                         1                      0.02%
            P.Oliver                         3                      0.07%
          P.Peterson                        24                      0.53%
         P.Posluszny                        14                      0.31%
             P.Riley                         3                      0.07%
          P.Robinson                        15                      0.33%
              P.Sims                         1                      0.02%
             P.Smith                         3                      0.07%
            P.Warren                         2                      0.04%
          P.Williams                         2                      0.04%
            P.Willis                         7                      0.15%
          P.Worrilow                         3                      0.07%
             Q.Black                         3                      0.07%
             Q.Demps                        18                      0.40%
             Q.Diggs                         6                      0.13%
            Q.Dunbar                         3                      0.07%
            Q.Groves                         2                      0.04%
            Q.Jammer                         8                      0.18%
            Q.Mikell                         7                      0.15%
           Q.Rollins                         3                      0.07%
            Q.Wilson                         1                      0.02%
            R.Alford                        14                      0.31%
             R.Allen                         8                      0.18%
         R.Armstrong                         3                      0.07%
            R.Barber                        11                      0.24%
           R.Blanton                         1                      0.02%
             R.Brown                         1                      0.02%
            R.Bryant                         2                      0.04%
              R.Bush                         3                      0.07%
             R.Clark                        11                      0.24%
          R.Cockrell                         5                      0.11%
            R.Corner                         2                      0.04%
          R.Crawford                         1                      0.02%
             R.Darby                         5                      0.11%
             R.Davis                         1                      0.02%
           R.Doughty                         3                      0.07%
           R.Douglas                         3                      0.07%
          R.Francois                         2                      0.04%
               R.Gay                         1                      0.02%
          R.Geathers                         1                      0.02%
            R.Golden                         2                      0.04%
            R.Harper                         9                      0.20%
              R.Hill                         4                      0.09%
              R.Hood                         4                      0.09%
           R.Jackson                         5                      0.11%
           R.Johnson                        16                      0.35%
             R.Jones                        18                      0.40%
          R.Kerrigan                         3                      0.07%
            R.Lester                         3                      0.07%
             R.Lewis                         3                      0.07%
          R.Marshall                        11                      0.24%
            R.Mathis                        10                      0.22%
          R.Maualuga                         8                      0.18%
           R.McClain                        11                      0.24%
          R.McDonald                         1                      0.02%
          R.McIntosh                         3                      0.07%
            R.McLeod                        13                      0.29%
            R.Melvin                         3                      0.07%
             R.Miles                         1                      0.02%
             R.Moore                        11                      0.24%
              R.Moss                         1                      0.02%
             R.Mundy                         8                      0.18%
            R.Nelson                        32                      0.71%
         R.Ninkovich                         5                      0.11%
            R.Parker                         9                      0.20%
          R.Robinson                         2                      0.04%
           R.Shazier                         7                      0.15%
           R.Sherman                        33                      0.73%
             R.Silva                         1                      0.02%
             R.Smith                         3                      0.07%
          R.Stanford                         2                      0.04%
            R.Starks                         3                      0.07%
          R.Therezie                         1                      0.02%
            R.Torbor                         1                      0.02%
          R.Williams                         1                      0.02%
            R.Wilson                         1                      0.02%
              S.Acho                         3                      0.07%
           S.Anthony                         1                      0.02%
           S.Bradley                         1                      0.02%
             S.Brown                        22                      0.49%
         S.Considine                         2                      0.04%
            S.Cooper                         1                      0.02%
           S.Cravens                         1                      0.02%
             S.Davis                         4                      0.09%
            S.Fujita                         2                      0.04%
           S.Gilmore                        16                      0.35%
           S.Gregory                         7                      0.15%
           S.Griffin                         1                      0.02%
             S.Jones                         4                      0.09%
               S.Keo                         3                      0.07%
               S.Lee                        13                      0.29%
         S.Lissemore                         1                      0.02%
             S.Marks                         1                      0.02%
            S.Martin                         8                      0.18%
